year,hires,terminations,net_change,net_change_precent
2000,4,0,4,100.00
2000,2,0,2,100.00
2000,3,0,3,100.00
2000,1,0,1,100.00
2000,1,0,1,100.00
2000,2,0,2,100.00
2000,1,0,1,100.00
2000,3,0,3,100.00
2000,1,0,1,100.00
2000,2,1,1,50.00
2000,2,0,2,100.00
2000,1,0,1,100.00
2000,1,0,1,100.00
2000,2,0,2,100.00
2000,2,0,2,100.00
2000,2,0,2,100.00
2000,4,0,4,100.00
2000,5,2,3,60.00
2000,7,2,5,71.43
2000,3,0,3,100.00
2000,5,0,5,100.00
2000,2,0,2,100.00
2000,3,0,3,100.00
2000,1,0,1,100.00
2000,5,3,2,40.00
2000,2,1,1,50.00
2000,1,0,1,100.00
2000,3,1,2,66.67
2000,3,0,3,100.00
2000,2,1,1,50.00
2000,3,1,2,66.67
2000,3,0,3,100.00
2000,3,0,3,100.00
2000,3,1,2,66.67
2000,5,0,5,100.00
2000,1,0,1,100.00
2000,2,0,2,100.00
2000,6,0,6,100.00
2000,6,0,6,100.00
2000,7,1,6,85.71
2000,2,0,2,100.00
2000,4,0,4,100.00
2000,3,0,3,100.00
2000,2,0,2,100.00
2000,4,0,4,100.00
2000,2,0,2,100.00
2000,2,0,2,100.00
2000,2,0,2,100.00
2000,2,0,2,100.00
2000,4,0,4,100.00
2000,2,1,1,50.00
2000,5,1,4,80.00
2000,5,2,3,60.00
2000,1,0,1,100.00
2000,6,1,5,83.33
2000,6,3,3,50.00
2000,5,0,5,100.00
2000,4,0,4,100.00
2000,2,1,1,50.00
2000,2,0,2,100.00
2000,1,0,1,100.00
2000,1,0,1,100.00
2000,1,0,1,100.00
2000,2,1,1,50.00
2000,4,0,4,100.00
2000,1,0,1,100.00
2000,2,0,2,100.00
2000,4,2,2,50.00
2000,3,0,3,100.00
2000,3,0,3,100.00
2000,2,0,2,100.00
2000,3,0,3,100.00
2000,1,0,1,100.00
2000,2,0,2,100.00
2000,1,0,1,100.00
2001,3,1,2,66.67
2001,4,1,3,75.00
2001,3,0,3,100.00
2001,4,1,3,75.00
2001,3,0,3,100.00
2001,5,1,4,80.00
2001,4,1,3,75.00
2001,1,0,1,100.00
2001,6,0,6,100.00
2001,4,0,4,100.00
2001,4,2,2,50.00
2001,4,0,4,100.00
2001,5,1,4,80.00
2001,7,1,6,85.71
2001,1,0,1,100.00
2001,1,0,1,100.00
2001,5,2,3,60.00
2001,3,0,3,100.00
2001,3,1,2,66.67
2001,7,2,5,71.43
2001,3,0,3,100.00
2001,5,0,5,100.00
2001,2,0,2,100.00
2001,5,0,5,100.00
2001,2,0,2,100.00
2001,7,1,6,85.71
2001,6,3,3,50.00
2001,4,0,4,100.00
2001,8,2,6,75.00
2001,3,0,3,100.00
2001,6,1,5,83.33
2001,5,1,4,80.00
2001,5,1,4,80.00
2001,2,0,2,100.00
2001,6,1,5,83.33
2001,4,0,4,100.00
2001,2,1,1,50.00
2001,2,0,2,100.00
2001,5,1,4,80.00
2001,3,0,3,100.00
2001,8,2,6,75.00
2001,2,0,2,100.00
2001,5,1,4,80.00
2001,5,0,5,100.00
2001,4,1,3,75.00
2001,3,2,1,33.33
2001,2,1,1,50.00
2001,5,1,4,80.00
2001,4,2,2,50.00
2001,5,1,4,80.00
2001,4,1,3,75.00
2001,3,1,2,66.67
2001,5,0,5,100.00
2001,4,0,4,100.00
2001,4,2,2,50.00
2001,4,0,4,100.00
2001,1,0,1,100.00
2001,4,1,3,75.00
2001,2,1,1,50.00
2001,3,0,3,100.00
2001,2,0,2,100.00
2001,5,0,5,100.00
2001,6,3,3,50.00
2001,5,2,3,60.00
2001,3,0,3,100.00
2001,4,0,4,100.00
2001,5,2,3,60.00
2001,5,0,5,100.00
2001,5,2,3,60.00
2001,4,0,4,100.00
2001,2,0,2,100.00
2001,6,0,6,100.00
2001,4,0,4,100.00
2001,4,0,4,100.00
2001,2,1,1,50.00
2001,3,0,3,100.00
2001,4,0,4,100.00
2001,3,0,3,100.00
2001,7,5,2,28.57
2001,3,1,2,66.67
2001,3,0,3,100.00
2001,3,0,3,100.00
2001,3,0,3,100.00
2001,5,0,5,100.00
2001,5,3,2,40.00
2001,2,0,2,100.00
2001,2,1,1,50.00
2001,4,2,2,50.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,6,0,6,100.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,4,0,4,100.00
2001,6,0,6,100.00
2001,8,2,6,75.00
2001,2,1,1,50.00
2001,5,1,4,80.00
2001,3,1,2,66.67
2001,6,0,6,100.00
2001,5,1,4,80.00
2001,3,0,3,100.00
2001,3,0,3,100.00
2001,2,1,1,50.00
2001,1,0,1,100.00
2001,5,1,4,80.00
2001,3,1,2,66.67
2001,4,1,3,75.00
2001,3,0,3,100.00
2001,4,1,3,75.00
2001,4,0,4,100.00
2001,5,1,4,80.00
2001,3,1,2,66.67
2001,5,0,5,100.00
2001,4,1,3,75.00
2001,3,2,1,33.33
2001,2,1,1,50.00
2001,8,1,7,87.50
2001,4,0,4,100.00
2001,2,0,2,100.00
2001,3,0,3,100.00
2001,3,0,3,100.00
2001,2,1,1,50.00
2001,3,0,3,100.00
2001,5,0,5,100.00
2001,3,0,3,100.00
2001,4,1,3,75.00
2001,5,2,3,60.00
2001,2,0,2,100.00
2001,7,2,5,71.43
2001,7,1,6,85.71
2001,3,1,2,66.67
2001,6,1,5,83.33
